trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,DALBHARAT,DALBHARAT,2026-07-28,,,1750.9,1759.5,1727.9,1758.9,1758.9,1758.9,24,13558155.0,24050,3250,5361,NSE,UDIFF F&O BHAVCOPY,FUTURE,DALBHARAT
2026-05-21,FO,NSE,STF,DALBHARAT,DALBHARAT,2026-05-26,,,1725.5,1758.0,1714.0,1752.5,1752.0,1752.5,3274,1849270020.0,2854150,-588250,5451,NSE,UDIFF F&O BHAVCOPY,FUTURE,DALBHARAT
2026-05-21,FO,NSE,STF,EICHERMOT,EICHERMOT,2026-05-26,,,6934.0,6966.0,6875.5,6902.5,6932.0,6902.5,8922,6171775100.0,1767100,-628800,5514,NSE,UDIFF F&O BHAVCOPY,FUTURE,EICHERMOT
2026-05-21,FO,NSE,STF,EICHERMOT,EICHERMOT,2026-06-30,,,6972.0,7002.0,6913.0,6942.5,6975.0,6942.5,9030,6282021700.0,1484300,686100,5515,NSE,UDIFF F&O BHAVCOPY,FUTURE,EICHERMOT
2026-05-21,FO,NSE,STF,EICHERMOT,EICHERMOT,2026-07-28,,,7017.0,7036.0,6956.0,6982.0,6985.0,6982.0,62,43377750.0,20900,3000,5553,NSE,UDIFF F&O BHAVCOPY,FUTURE,EICHERMOT
2026-05-21,FO,NSE,STF,INDIGO,INDIGO,2026-05-26,,,4325.0,4449.0,4325.0,4404.4,4402.0,4404.4,18767,12419597955.0,5229750,-1710900,5802,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIGO
2026-05-21,FO,NSE,STF,INDIGO,INDIGO,2026-06-30,,,4344.8,4470.0,4344.8,4428.2,4424.7,4428.2,14367,9564601050.0,2689050,1581150,5855,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIGO
2026-05-21,FO,NSE,STF,INDIGO,INDIGO,2026-07-28,,,4400.3,4480.8,4400.0,4442.0,4447.5,4442.0,206,137255490.0,51300,3750,5885,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIGO
2026-05-21,FO,NSE,STF,JIOFIN,JIOFIN,2026-07-28,,,240.0,240.5,237.11,238.68,238.4,238.68,194,109049188.5,3792900,103400,5895,NSE,UDIFF F&O BHAVCOPY,FUTURE,JIOFIN
2026-05-21,FO,NSE,STF,JIOFIN,JIOFIN,2026-06-30,,,238.07,239.65,236.32,237.57,237.5,237.57,9915,5542198311.0,63898850,17688450,5941,NSE,UDIFF F&O BHAVCOPY,FUTURE,JIOFIN
2026-05-21,FO,NSE,STF,JIOFIN,JIOFIN,2026-05-26,,,236.0,238.17,234.91,236.12,236.18,236.12,10212,5673702971.5,117854850,-16971700,5980,NSE,UDIFF F&O BHAVCOPY,FUTURE,JIOFIN
2026-05-21,FO,NSE,STF,KAYNES,KAYNES,2026-06-30,,,3021.0,3091.0,2971.8,3075.5,3091.0,3075.5,5489,1672726420.0,1535100,118000,6154,NSE,UDIFF F&O BHAVCOPY,FUTURE,KAYNES
